Station, Latitude, Longitude
END, 42.232881, -71.160413
OakGrove, 42.43534301653641, -71.07118964195251
Malden, 42.426407, -71.074227
Wonderland, 42.414246, -70.992144
RevereBeach, 42.407163364836734, -70.9921932220459
Wellington, 42.40429558533948, -71.0770046710968
Beachmont, 42.39741871815673, -70.9921932220459
Davis, 42.39606385476378, -71.12205505371094
Alewife, 42.39490704766491, -71.14098072052002
SuffolkDowns, 42.388401591475336, -71.00035786628723
Porter, 42.3883461218366, -71.11924409866333
OrientHeights, 42.386676, -71.006628
SullivanSquare, 42.38575484265729, -71.07707977294922
WoodIsland, 42.380797, -71.023394
Harvard, 42.373939, -71.119106
CommunityCollege, 42.37263831811535, -71.07027769088745
Lechmere, 42.370582, -71.076884
Maverick, 42.36886, -71.039926
SciencePark, 42.3666775176796, -71.06816411018372
NorthStation, 42.365512, -71.061423
Central, 42.36516344770085, -71.10332250595093
Haymarket, 42.362498, -71.058996
Kendall, 42.362460226799854, -71.086585521698
Bowdoin, 42.361457, -71.062129
Aquarium, 42.359456, -71.05357
GovernmentCenter, 42.359297, -71.059895
State, 42.358897, -71.057795
ParkStreet, 42.35619718606788, -71.06229543685913
DowntownCrossing, 42.355295, -71.060788
Boylston, 42.352391489359306, -71.06487035751343
Chinatown, 42.352228, -71.062892
SouthStation, 42.351709611022265, -71.05499982833862
Arlington, 42.351868, -71.070498
BabcockStreet, 42.351741326457805, -71.12126111984253
PackardsCorner, 42.3520743375646, -71.12486600875854
PleasantStreet, 42.351344882363485, -71.11821413040161
BostonUniversityWest, 42.350900862009205, -71.11407279968262
Copley, 42.349962, -71.078089
HarvardAvenue, 42.35023482559652, -71.13102436065674
BostonUniversityCentral, 42.349933521091316, -71.10618710517883
BostonUniversityEast, 42.349648, -71.103825
BlandfordStreet, 42.349297, -71.100796
Kenmore, 42.348797, -71.095296
WarrenStreet, 42.348474552532686, -71.1402940750122
AllstonStreet, 42.3484428354488, -71.13778352737427
Prudential, 42.34563581014697, -71.08158588409424
St.MarysStreet, 42.34613537466565, -71.10680937767029
SummitAvenue, 42.3458745625443, -71.14135804111079
HawesStreet, 42.34495385852275, -71.11101508140564
Fenway, 42.345286905589, -71.10439538955688
KentStreet, 42.343997, -71.114596
WashingtonStreet, 42.34368509163107, -71.1428689956665
Broadway, 42.3429, -71.05713
Symphony, 42.342697, -71.085095
CoolidgeCorner, 42.342097, -71.121396
MassachusettsAvenue, 42.34155191958295, -71.0832166671753
Longwood, 42.335837, -71.100652
BostonCollege, 42.3399420801205, -71.16619348526001
NortheasternUniversity, 42.340322735536745, -71.0888922214508
ChiswickRoad, 42.34033859612907, -71.15130186080933
